지수코드,지수명,종류
1001,코스피,KS
1002,코스피 대형주,KS
1003,코스피 중형주,KS
1004,코스피 소형주,KS
1005,음식료품,KS
1006,섬유의복,KS
1007,종이목재,KS
1008,화학,KS
1009,의약품,KS
1010,비금속광물,KS
1011,철강금속,KS
1012,기계,KS
1013,전기전자,KS
1014,의료정밀,KS
1015,운수장비,KS
1016,유통업,KS
1017,전기가스업,KS
1018,건설업,KS
1019,운수창고업,KS
1020,통신업,KS
1021,금융업,KS
1022,은행,KS
1024,증권,KS
1025,보험,KS
1026,서비스업,KS
1027,제조업,KS
1028,코스피 200,KS
1034,코스피 100,KS
1035,코스피 50,KS
1150,코스피 200 커뮤니케이션서비스,KS
1151,코스피 200 건설,KS
1152,코스피 200 중공업,KS
1153,코스피 200 철강/소재,KS
1154,코스피 200 에너지/화학,KS
1155,코스피 200 정보기술,KS
1156,코스피 200 금융,KS
1157,코스피 200 생활소비재,KS
1158,코스피 200 경기소비재,KS
1159,코스피 200 산업재,KS
1160,코스피 200 헬스케어,KS
1167,코스피 200 중소형주,KS
1182,코스피 200 초대형제외 지수,KS
1224,코스피 200 비중상한 30%,KS
1227,코스피 200 비중상한 25%,KS
1232,코스피 200 비중상한 20%,KS
1244,코스피200제외 코스피지수,KS
1894,코스피 200 TOP 10,KS
2001,코스닥,KQ
2002,코스닥 대형주,KQ
2003,코스닥 중형주,KQ
2004,코스닥 소형주,KQ
2012,기타서비스,KQ
2015,코스닥 IT,KQ
2024,제조업,KQ
2026,건설,KQ
2027,유통,KQ
2029,운송,KQ
2031,금융,KQ
2037,오락·문화,KQ
2041,통신방송서비스,KQ
2042,IT S/W & SVC,KQ
2043,IT H/W,KQ
2056,음식료·담배,KQ
2058,섬유·의류,KQ
2062,종이·목재,KQ
2063,출판·매체복제,KQ
2065,화학,KQ
2066,제약,KQ
2067,비금속,KQ
2068,금속,KQ
2070,기계·장비,KQ
2072,일반전기전자,KQ
2074,의료·정밀기기,KQ
2075,운송장비·부품,KQ
2077,기타제조,KQ
2151,통신서비스,KQ
2152,방송서비스,KQ
2153,인터넷,KQ
2154,디지털컨텐츠,KQ
2155,소프트웨어,KQ
2156,컴퓨터서비스,KQ
2157,통신장비,KQ
2158,정보기기,KQ
2159,반도체,KQ
2160,IT부품,KQ
2181,코스닥 우량기업부,KQ
2182,코스닥 벤처기업부,KQ
2183,코스닥 중견기업부,KQ
2184,코스닥 기술성장기업부,KQ
2203,코스닥 150,KQ
2212,코스닥 150 소재,KQ
2213,코스닥 150 산업재,KQ
2214,코스닥 150 필수소비재,KQ
2215,코스닥 150 자유소비재,KQ
2216,코스닥 150 정보기술,KQ
2217,코스닥 150 헬스케어,KQ
2218,코스닥 150 커뮤니케이션서비스,KQ
5042,KRX 100,KX
5043,KRX 자동차,KX
5044,KRX 반도체,KX
5045,KRX 헬스케어,KX
5046,KRX 은행,KX
5048,KRX 에너지화학,KX
5049,KRX 철강,KX
5051,KRX 방송통신,KX
5052,KRX 건설,KX
5054,KRX 증권,KX
5055,KRX 기계장비,KX
5056,KRX 보험,KX
5057,KRX 운송,KX
5061,KRX 경기소비재,KX
5062,KRX 필수소비재,KX
5063,KRX 미디어&엔터테인먼트,KX
5064,KRX 정보기술,KX
5065,KRX 유틸리티,KX
5300,KRX 300,KX
5301,KRX Mid 200,KX
5351,KRX 300 정보기술,KX
5352,KRX 300 금융,KX
5353,KRX 300 자유소비재,KX
5354,KRX 300 산업재,KX
5355,KRX 300 헬스케어,KX
5356,KRX 300 커뮤니케이션서비스,KX
5357,KRX 300 소재,KX
5358,KRX 300 필수소비재,KX
5600,KTOP 30,KX
